midLength,2016-01-01,2016-03-02,2016-04-02,2016-07-02,2016-08-02,2016-10-01,2016-11-01,2016-12-01
8,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
12,0,0,0,0,0,1,0,0
14,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,1
20,0,2,1,0,0,0,0,0
22,0,4,2,3,1,0,0,0
24,0,2,3,2,3,0,0,0
26,0,1,3,11,13,6,0,2
28,1,2,1,14,21,15,12,8
30,25,1,0,22,31,47,49,29
32,57,15,6,14,27,59,99,82
34,155,59,37,12,18,56,119,149
36,215,179,122,33,13,45,107,167
38,215,251,219,86,74,36,68,130
40,144,290,286,193,145,78,67,79
42,77,199,252,274,217,122,82,80
44,100,133,172,262,249,187,145,115
46,115,94,138,197,229,200,208,131
48,160,85,106,138,173,175,225,172
50,179,168,136,102,134,186,187,181
52,189,149,131,102,107,146,148,171
54,147,147,155,118,120,108,127,133
56,125,155,165,152,125,104,100,106
58,91,145,118,127,135,116,126,103
60,112,120,146,134,145,105,109,125
62,105,108,99,110,134,102,107,105
64,116,97,119,104,108,86,93,110
66,129,123,106,101,117,104,90,106
68,113,100,91,105,89,84,96,92
70,117,83,92,80,92,95,81,74
72,74,88,79,85,101,73,90,91
74,88,73,86,85,93,77,72,77
76,73,87,70,89,70,78,64,76
78,93,78,69,62,67,74,68,80
80,70,67,57,84,68,55,65,73
82,62,67,55,73,59,56,63,71
84,56,54,59,58,73,44,52,52
86,53,44,48,65,48,52,50,54
88,53,45,46,52,63,60,48,46
90,35,49,60,49,47,40,51,40
92,30,50,49,39,51,33,45,35
94,35,37,31,37,43,44,31,35
96,33,25,36,39,31,38,31,28
98,20,33,41,36,40,27,22,31
100,27,16,32,28,25,25,28,24
102,22,16,21,25,29,28,19,24
104,12,22,25,23,27,13,23,26
106,14,15,18,19,27,20,21,17
108,14,18,20,12,15,20,11,17
110,10,9,8,11,17,9,9,13
112,13,15,8,14,14,12,12,6
114,5,6,5,11,8,6,11,7
116,6,6,9,11,6,7,5,6
118,4,7,7,2,3,4,4,6
120,5,4,4,3,8,3,4,2
122,0,2,2,2,2,1,1,2
124,1,1,0,2,0,0,1,2
126,0,1,0,1,1,1,0,2
128,0,1,0,0,0,0,0,1
130,0,0,1,0,1,0,0,0
132,0,1,0,0,0,0,0,0
134,0,0,0,0,0,0,1,0
